Example ID,Target,Features_ 1,Features_ 2,Features_ 3,Features_ 4,Features_ 5,Features_ 6,Features_ 7,Features_ 8,Features_ 9,Features_10,Features_11,Features_12,Features_13,Features_14,Features_15,Features_16,Features_17,Features_18,Features_19,Features_20,Features_21
ID1,14.95187,-0.425802,-0.421765,-0.117631,1.876139,0.104622,-0.044432,0.527354,0.905506,0.136953,0.598662,-1.142421,0.255145,0.422726,-1.182869,6.741778,-0.527961,-0.179369,-7.56082,-0.30169,0.947083,-7.022852
ID2,-1.016565,-0.385034,-0.217847,0.0958,1.986226,0.488709,-0.062955,-0.021714,-0.163302,0.025991,-0.104987,-0.078271,0.044232,0.008064,0.259725,0.087321,2.432077,-3.905921,-20.792933,-7.469262,-3.190918,14.714778
ID3,23.468254,0.231912,-0.245713,0.178486,1.475058,0.424432,0.106592,0.043496,0.054226,0.254013,-0.068495,-1.285064,-0.280426,-0.162733,1.142721,0.767299,0.937846,-1.597979,-12.311518,-1.166495,-1.739139,9.994134
ID4,9.922605,-0.319993,-0.372411,-0.096802,1.816952,-0.011679,0.022313,0.468281,0.018536,0.020025,0.182265,-0.223363,0.067541,0.010339,-0.19637,-0.548606,0.246524,-0.270943,0.95305,-0.790283,0.06084,0.174033
ID5,19.029654,0.010659,-0.300562,-0.131956,1.598611,-0.000244,-0.00684,0.236593,-0.015543,0.001694,-0.029704,0.000594,-0.001698,-0.005972,-0.007929,0.235622,0.00439,0.416048,0.041928,-0.007166,0.013473,0.039489
ID6,12.912978,0.441749,-0.341434,0.085442,1.178203,-0.0736,0.08829,-0.036523,-1.152245,-0.389506,0.767933,1.823632,-0.190106,0.532645,0.88208,-12.308353,2.778754,-1.572584,11.107861,-1.224782,0.402351,7.617193
ID7,7.611861,0.213512,-0.291892,-0.041824,1.392711,-0.029178,0.054534,0.124585,2.361105,-0.164027,0.475089,-1.977329,0.14039,0.070161,-1.006106,-10.573029,-3.133618,-5.230187,5.174941,-0.090321,-0.298786,6.606989
ID8,28.952257,0.084613,-0.452678,0.146389,1.391015,0.100947,0.138924,0.120749,1.549811,-0.259443,-0.08512,-1.892461,0.128023,-0.064944,-1.070683,-0.475005,0.671083,-1.796403,0.801651,-0.865898,-0.996874,2.694928
ID9,91.460625,-0.115108,-0.13959,-0.031843,1.597705,0.268735,-0.002348,0.138627,-0.743378,-0.266426,-0.20135,0.63734,-0.07393,-0.262745,-0.696779,25.626742,-8.291744,12.644565,16.417826,9.538342,6.16645,-34.84888
ID10,-27.457069,-0.41454,-0.416615,-0.003235,1.866359,0.503849,-0.257178,0.058004,-0.317434,-0.404924,0.402952,0.801917,0.774844,0.018518,-0.387008,-11.922303,3.877136,-9.033787,-10.280836,-6.183179,-1.429013,15.924654
